"","state","date","stayathome"
"Colorado.6.9","Colorado",2020-03-10,0
"Colorado.6.10","Colorado",2020-03-11,0
"Colorado.6.11","Colorado",2020-03-12,0
"Colorado.6.12","Colorado",2020-03-13,0
"Colorado.6.13","Colorado",2020-03-14,0
"Colorado.6.14","Colorado",2020-03-15,0
"Colorado.6.15","Colorado",2020-03-16,0
"Colorado.6.16","Colorado",2020-03-17,0
"Colorado.6.17","Colorado",2020-03-18,0
"Colorado.6.18","Colorado",2020-03-19,0
"Colorado.6.19","Colorado",2020-03-20,0
"Colorado.6.20","Colorado",2020-03-21,0
"Colorado.6.21","Colorado",2020-03-22,0
"Colorado.6.22","Colorado",2020-03-23,0
"Colorado.6.23","Colorado",2020-03-24,0
"Colorado.6.24","Colorado",2020-03-25,0
"Colorado.6.25","Colorado",2020-03-26,1
"Colorado.6.26","Colorado",2020-03-27,1
"Colorado.6.27","Colorado",2020-03-28,1
"Colorado.6.28","Colorado",2020-03-29,1
"Colorado.6.29","Colorado",2020-03-30,1
"Colorado.6.30","Colorado",2020-03-31,1
"Colorado.6.31","Colorado",2020-04-01,1
"Colorado.6.32","Colorado",2020-04-02,1
"Colorado.6.33","Colorado",2020-04-03,1
"Colorado.6.34","Colorado",2020-04-04,1
"Colorado.6.35","Colorado",2020-04-05,1
"Colorado.6.36","Colorado",2020-04-06,1
"Colorado.6.37","Colorado",2020-04-07,1
"Colorado.6.38","Colorado",2020-04-08,1
"Colorado.6.39","Colorado",2020-04-09,1
"Colorado.6.40","Colorado",2020-04-10,1
"Colorado.6.41","Colorado",2020-04-11,1
"Colorado.6.42","Colorado",2020-04-12,1
"Colorado.6.43","Colorado",2020-04-13,1
"Colorado.6.44","Colorado",2020-04-14,1
"Colorado.6.45","Colorado",2020-04-15,1
"Colorado.6.46","Colorado",2020-04-16,1
"Colorado.6.47","Colorado",2020-04-17,1
"Colorado.6.48","Colorado",2020-04-18,1
"Colorado.6.49","Colorado",2020-04-19,1
"Colorado.6.50","Colorado",2020-04-20,1
"Colorado.6.51","Colorado",2020-04-21,1
"Colorado.6.52","Colorado",2020-04-22,1
"Colorado.6.53","Colorado",2020-04-23,1
"Colorado.6.54","Colorado",2020-04-24,1
"Colorado.6.55","Colorado",2020-04-25,1
"Colorado.6.56","Colorado",2020-04-26,1
"Colorado.6.57","Colorado",2020-04-27,0
"Colorado.6.58","Colorado",2020-04-28,0
"Colorado.6.59","Colorado",2020-04-29,0
"Colorado.6.60","Colorado",2020-04-30,0
"Colorado.6.61","Colorado",2020-05-01,0
"Colorado.6.62","Colorado",2020-05-02,0
"Colorado.6.63","Colorado",2020-05-03,0
"Colorado.6.64","Colorado",2020-05-04,0
"Colorado.6.65","Colorado",2020-05-05,0
"Colorado.6.66","Colorado",2020-05-06,0
"Colorado.6.67","Colorado",2020-05-07,0
"Colorado.6.68","Colorado",2020-05-08,0
"Colorado.6.69","Colorado",2020-05-09,0
"Colorado.6.70","Colorado",2020-05-10,0
"Colorado.6.71","Colorado",2020-05-11,0
"Colorado.6.72","Colorado",2020-05-12,0
"Colorado.6.73","Colorado",2020-05-13,0
"Colorado.6.74","Colorado",2020-05-14,0
"Colorado.6.75","Colorado",2020-05-15,0
"Colorado.6.76","Colorado",2020-05-16,0
"Colorado.6.77","Colorado",2020-05-17,0
"Colorado.6.78","Colorado",2020-05-18,0
"Colorado.6.79","Colorado",2020-05-19,0
"Colorado.6.80","Colorado",2020-05-20,0
"Colorado.6.81","Colorado",2020-05-21,0
"Colorado.6.82","Colorado",2020-05-22,0
"Colorado.6.83","Colorado",2020-05-23,0
"Colorado.6.84","Colorado",2020-05-24,0
"Colorado.6.85","Colorado",2020-05-25,0
"Colorado.6.86","Colorado",2020-05-26,0
