"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"322","New Hampshire",2020-03-18,12,84,1092,1176,14.4285714285714,-31.3142857142857,-33.6,3.74285714285714,17.8285714285714,-28.7428571428571
"323","New Hampshire",2020-03-25,13,213,3966,4179,18.6666666666667,-42.3636363636364,-44.2727272727273,-15.3636363636364,11.030303030303,-44.5454545454545
"324","New Hampshire",2020-04-01,14,401,2606,3007,19.9714285714286,-45.8857142857143,-44.4857142857143,-17,10.7142857142857,-47.9428571428571
"325","New Hampshire",2020-04-08,15,305,2571,2876,20.71875,-48.46875,-46.125,-21,2.25,-51
"326","New Hampshire",2020-04-15,16,471,2258,2729,18.8846153846154,-44.9230769230769,-37.2692307692308,-17.1923076923077,17.7692307692308,-48.9230769230769
"327","New Hampshire",2020-04-22,17,447,5359,5806,18.4444444444444,-44.1111111111111,-37.7407407407407,-17.037037037037,5.03703703703704,-48.8148148148148
"328","New Hampshire",2020-04-29,18,650,6075,6725,16,-42.1851851851852,-30.4814814814815,-11,33.7407407407407,-42.3703703703704
"329","New Hampshire",2020-05-06,19,572,8119,8691,16.2222222222222,-39.8518518518519,-28.2962962962963,-5.88888888888889,24.7037037037037,-38.8888888888889
"330","New Hampshire",2020-05-13,20,492,13421,13913,17,-42.375,-22.25,-5.5,47,-31.125
"331","New Jersey",2020-03-04,10,14,44,58,-0.238095238095238,2.38095238095238,6.91269841269841,6.3968253968254,47.6507936507937,3.95238095238095
"332","New Jersey",2020-03-11,11,252,119,371,4.015625,-6.734375,-0.0234375,17.0625,43.671875,-11.1640625
"333","New Jersey",2020-03-18,12,3408,8162,11570,18.0227272727273,-39.7651515151515,-39.8106060606061,-8.62878787878788,15.6439393939394,-42.2272727272727
